,Region,Region Name,Store,Store Name,Store Postcode,Small Trolley,Large Trolley,Total Trolleys,Trolleys (Y/N),Handheld Basket,Rollable Basket,Total Baskets,Baskets (Y/N),Frequency of Basket Clean,Total per Annum,Latitude,Longitude,Estimated Cleaning Time,Cleaning Time
373,250,Belvedere,1415,LON-Dartford,DA1 2AG,20,50,70,Yes,0,70,70,Yes,Bi-monthly,6,51.4422912,0.2137003,140.00,140
374,250,Belvedere,2061,LON-Hounslow,TW3 3HY,31,39,70,Yes,49,33,82,Yes,Monthly,12,51.4676632,-0.372002,135.66666666666666,136
375,260,Newton Aycliffe,1351,DUR-Langley Moor,DH7 8EU,24,46,70,Yes,0,58,58,Yes,Quarterly,4,54.7582045,-1.60946595,128.00,128
376,290,Enfield,868,LON-East Ham,E6 2JA,40,30,70,Yes,0,250,250,Yes,Monthly,12,51.5382351,0.05194595,320.00,320
377,320,Southampton,1391,Newhaven,BN9 0AD,9,61,70,Yes,0,54,54,Yes,Bi-monthly,6,50.7955329,0.0569889,124.00,124
378,340,Doncaster,1610,Todmorden,OL14 5QR,45,25,70,Yes,1,70,71,Yes,Bi-monthly,6,53.71404455,-2.0899357,140.66666666666666,141
379,340,Doncaster,1956,WIG-Parr Bridge,M29 8PR,31,39,70,Yes,0,216,216,Yes,Bi-monthly,6,53.51027254,-2.43321148,286.00,286
380,340,Doncaster,1987,SHE-Chapeltown,S35 3XU,21,49,70,Yes,0,102,102,Yes,Quarterly,4,53.47021,-1.47577,172.00,172
381,360,Wednesbury,1421,Kingswinford,DY6 7BG,15,55,70,Yes,0,60,60,Yes,Quarterly,4,52.5042305,-2.1673573,130.00,130
382,360,Wednesbury,1933,ALT-Broadheath,WA14 5GR,42,28,70,Yes,0,62,62,Yes,Bi-monthly,6,53.400369918181816,-2.356355645,132.00,132
383,430,Exeter,412,PLE-Branksome,BH12 1DQ,59,11,70,Yes,0,67,67,Yes,Bi-monthly,6,50.7266287,-1.9204101,137.00,137
384,430,Exeter,1221,PLY-Union Street,PL1 3FA,42,28,70,Yes,73,40,113,Yes,Monthly,12,50.36929,-4.16015,158.66666666666666,159
385,490,Motherwell,1060,Kilmarnock,KA1 4AG,35,35,70,Yes,0,60,60,Yes,Quarterly,4,55.6017068,-4.4961711,130.00,130
386,490,Motherwell,1773,Larkhall,ML9 2TP,30,40,70,Yes,0,30,30,Yes,Quarterly,4,55.7198,-3.96167,100.00,100
387,590,Peterborough,1658,FEL-Walton Avenue,IP11 2QE,39,31,70,Yes,73,0,73,Yes,Quarterly,4,51.9561758,1.329275633333333,118.66666666666666,119
388,220,Runcorn,1293,Darwen,BB3 1QA,18,53,71,Yes,0,70,70,Yes,Bi-monthly,6,53.6986466,-2.471371,141.00,141
389,260,Newton Aycliffe,295,GAT-Wrekenton,NE9 7JS,24,47,71,Yes,0,38,38,Yes,Quarterly,4,54.92635,-1.57549,109.00,109
390,300,Bridgend,427,Port Talbot,SA12 7BZ,16,55,71,Yes,0,62,62,Yes,Quarterly,4,51.6039934,-3.8115316,133.00,133
391,340,Doncaster,1261,CHE-Sheffield Road,S41 8LX,27,44,71,Yes,0,83,83,Yes,Quarterly,4,53.25961453333333,-1.4293561,154.00,154
392,340,Doncaster,1968,Padiham,BB12 8DF,41,30,71,Yes,0,52,52,Yes,Quarterly,4,53.8015015,-2.3102725,123.00,123
393,430,Exeter,1360,Torrington,EX38 8BX,46,25,71,Yes,0,63,63,Yes,Quarterly,4,50.9535338,-4.1508678,134.00,134
394,430,Exeter,1930,CHR-Bailey Drive,BH23 2BN,37,34,71,Yes,0,39,39,Yes,Bi-monthly,6,50.73857864285714,-1.790841629,110.00,110
395,460,Avonmouth,1909,CHT-Swindon Road,GL50 4AH,36,35,71,Yes,165,0,165,Yes,Monthly,12,51.904995166666666,-2.07798315,181.00,181
396,600,Luton,1996,HTR-Linmere,LU5 7AR,31,40,71,Yes,0,68,68,Yes,Quarterly,4,51.91769,-0.49803,139.00,139
397,250,Belvedere,1872,LON-Old Kent Road,SE15 1NJ,21,51,72,Yes,102,92,194,Yes,Monthly,12,51.4798071,-0.0583511,232.00,232
398,250,Belvedere,1928,LON-Purley Way North,CR0 4XL,28,44,72,Yes,75,64,139,Yes,Bi-monthly,6,51.3733771,-0.11989475,186.00,186
399,260,Newton Aycliffe,677,MID-North Ormesby,TS3 8AL,30,42,72,Yes,10,16,26,Yes,Quarterly,4,54.57084528,-1.200694625,94.66666666666667,95
400,290,Enfield,1765,LON-Northolt,UB5 6ZD,26,46,72,Yes,16,137,153,Yes,Bi-monthly,6,51.5345722,-0.3896359,219.66666666666666,220
401,300,Bridgend,358,Milford Haven,SA73 2NA,55,17,72,Yes,0,23,23,Yes,Quarterly,4,51.7149894,-5.0292616,95.00,95
402,310,Northfleet,1416,LON-Hainault,IG6 2SU,57,15,72,Yes,67,0,67,Yes,Bi-monthly,6,51.6036603,0.0847526,116.66666666666667,117
403,320,Southampton,1794,SOU-Brownhill Way,SO16 0XS,23,49,72,Yes,0,73,73,Yes,Bi-monthly,6,50.9360026,-1.4666821,145.00,145
404,340,Doncaster,790,GRI-Cromwell Road,DN31 2BB,40,32,72,Yes,0,50,50,Yes,Bi-monthly,6,53.5652898,-0.10125975,122.00,122
405,340,Doncaster,1223,Mexborough,S64 9HU,30,42,72,Yes,0,74,74,Yes,Bi-monthly,6,53.4923456,-1.2936244,146.00,146
406,340,Doncaster,1494,Goole,DN14 6TY,22,50,72,Yes,0,70,70,Yes,Quarterly,4,53.7048947,-0.8903291,142.00,142
407,340,Doncaster,1782,ROT-Doncaster Road,S65 3ET,26,46,72,Yes,0,96,96,Yes,Quarterly,4,53.4440658,-1.3156402,168.00,168
408,460,Avonmouth,1259,SWI-Barnfield Road,SN2 2DJ,28,44,72,Yes,0,48,48,Yes,Quarterly,4,51.56779916,-1.80904876,120.00,120
409,490,Motherwell,706,Thurso,KW14 7LS,36,36,72,Yes,0,84,84,Yes,Quarterly,4,58.597298,-3.5315743,156.00,156
410,490,Motherwell,1002,Brechin,DD9 7BD,40,32,72,Yes,0,70,70,Yes,Quarterly,4,56.73025405,-2.6525586,142.00,142
411,600,Luton,1623,BED-Kempston,MK42 7LZ,22,50,72,Yes,0,150,150,Yes,Bi-monthly,6,52.1119431,-0.5182326,222.00,222
412,250,Belvedere,58,LON-Feltham,TW14 9BG,21,52,73,Yes,200,77,277,Yes,Bi-monthly,6,51.4482969,-0.4096221,283.33333333333337,283
413,250,Belvedere,1036,LON-Mitcham,SW16 5HX,25,48,73,Yes,58,34,92,Yes,Monthly,12,51.410885930769226,-0.140328969,145.66666666666666,146
414,290,Enfield,652,LON-Greenford,UB6 9FH,38,35,73,Yes,0,133,133,Yes,Monthly,12,51.527239,-0.350475,206.00,206
415,290,Enfield,1366,Waltham Cross,EN8 7AA,27,46,73,Yes,38,91,129,Yes,Bi-monthly,6,51.68289344166667,-0.0336041,189.33333333333334,189
416,290,Enfield,1787,LON-East Acton,W3 7BA,0,73,73,Yes,10,118,128,Yes,Monthly,12,51.51343,-0.24943,197.66666666666666,198
417,320,Southampton,1317,POR-Norway Road,PO3 5HT,9,64,73,Yes,21,51,72,Yes,Bi-monthly,6,50.8306246,-1.0650305,138.00,138
418,320,Southampton,1644,GOS-Fareham Road,PO13 0ZX,27,46,73,Yes,0,78,78,Yes,Bi-monthly,6,50.8163379,-1.16012205,151.00,151
419,340,Doncaster,730,MAN-Prestwich,M25 0LD,40,33,73,Yes,0,53,53,Yes,Bi-monthly,6,53.5181784,-2.2712166,126.00,126
420,360,Wednesbury,1918,DER-Alvaston,DE24 0DW,18,55,73,Yes,0,112,112,Yes,Quarterly,4,52.89811922307692,-1.428225885,185.00,185
421,360,Wednesbury,2007,DER-Uttoxeter New Rd,DE22 3NL,14,59,73,Yes,0,74,74,Yes,Monthly,12,52.92042384,-1.48868668,147.00,147
422,360,Wednesbury,741,Market Drayton,TF9 3AA,26,47,73,Yes,0,56,56,Yes,Quarterly,4,52.90729154,-2.48636574,129.00,129
423,460,Avonmouth,1394,BRS-Bishopsworth,BS13 7TE,17,56,73,Yes,0,70,70,Yes,Bi-monthly,6,51.41452372,-2.60940886,143.00,143
424,490,Motherwell,696,Dalkeith,EH22 1DU,12,61,73,Yes,0,42,42,Yes,Quarterly,4,55.89317015,-3.06829815,115.00,115
425,490,Motherwell,1681,Broxburn,EH52 5AS,13,60,73,Yes,0,97,97,Yes,Quarterly,4,55.934988,-3.4569936,170.00,170
426,490,Motherwell,2088,GLA-Anniesland,G13 1HU,40,33,73,Yes,0,100,100,Yes,Bi-monthly,6,55.89084295,-4.32359715,173.00,173
427,220,Runcorn,2012,WIG-Ashton In Makerfield,WN4 9BL,34,40,74,Yes,0,75,75,Yes,Quarterly,4,53.48691,-2.63647,149.00,149
428,310,Northfleet,1734,Witham,CM8 1BT,42,32,74,Yes,48,0,48,Yes,Quarterly,4,51.7970124,0.6344431,106.00,106
